,filename,title,incident_start_time,incident_detected_time,incident_end_time,severity_level,summary,incident_duration,time_to_detect,time_to_resolve,services,service_impact_type,components,component_root_cause,impact,user_impact_type,root_cause,category_root_cause,symptom,symptom_type
51,2023-05-28_wikireplicas_lag.wikitext,Wikireplicas Data Unavailability Incident,2023-05-25 05:11:00,2023-05-25 05:11:16,2023-06-01 08:47:00,Sev(3),Wikireplicas experienced issues with outdated data and were unavailable for around one week due to a MariaDB replication bug.,171:36:00,00:00:16,171:35:44,"WMCS services,Database Replication,Database Replication","Cloud Services and Virtual Private Servers (VPS), Database and Data Analytics","MariaDB,db1154,db1154,clouddb1021,dbproxy1018,dbproxy1018","Databases, Web Proxies","Wikireplicas had outdated data and were unavailable for around one week, affecting tools most likely experienced intermittent unavailability or outdated data. Users complained about the lack of access to meta_p and heartbeat_p databases and slow query performance.","Partial Service Outage, Elevated Response Times and Latencies, Increased Error Rates, Storage and Database Failures",Replication of multiple sections broke most probably due to a bug in MariaDB version 10.4.29.,"Database Issues, Software Bugs","Replication lag was detected first by Icinga alerts, indicating critical replication issues on MariaDB replicas (s1 on db1154 and s2 on db1155).","Database Errors, Service Probes and Health Checks Failures"
52,2022-06-01_Lost_index_in_cloudelastic.wikitext,Cloudelastic Elasticsearch Data Loss Incident,2022-05-31 13:00:00,2022-05-31 13:00:00,2022-07-12 14:00:00,Sev(2),"During a reimage operation, the cloudelastic Elasticsearch cluster lost a shard and went into red status, indicating data loss. Restoration from production snapshots failed consistently, delaying the restoration by a month until it was completed on 12 July.",1009:00:00,00:00:00,1009:00:00,Cloudelastic,"Cloud Services and Virtual Private Servers (VPS), Search and Indexing","Elasticsearch cluster,Elasticsearch cluster,data restoration process",Other,"For 41 days, Cloudelastic was missing search results about files from commons.wikimedia.org.","Partial Service Outage, Data Corruption or Loss",The cloudelastic Elasticsearch cluster lost a shard during a reimage operation and restoration from production snapshots failed consistently.,"Database Issues, Software Bugs","The issue was first detected when the cloudelastic Elasticsearch cluster went into red status, indicating data loss.",Database Errors
53,2023-06-18_search_broken_on_wikidata_and_commons.wikitext,Search Broken on Wikidata and Commons - June 2023,2023-06-17 11:30:00,2023-06-17 22:07:00,2023-06-18 10:02:00,Sev(3),A reindexing task for Elasticsearch indices on Wikidata and Commons resulted in search failures due to a non-existent analyzer reference.,22:32:00,10:37:00,11:55:00,"Wikidata,Commons",Other,"Elasticsearch,Elasticsearch,Wikibase",Databases,Users could no longer perform searches on Wikidata and Commons during the outage period.,Partial Service Outage,The 'token_count_router' query was referencing a 'text_search' analyzer that had been de-duplicated and was no longer available.,Configuration Errors,The issue was first detected by users who reported the problem. It was further identified via increased CirrusSearch failures and confirmed with error messages indicating 'Unknown analyzer [text_search]'.,"User Reported Problems, Database Errors"
54,2019-08-07_s8-cawiki-errors.wikitext,DatabaseTermIdsResolver Misconfiguration in Wikidata,2019-08-07 17:26:00,2019-08-07 17:33:00,2019-08-07 19:17:00,Sev(2),"The table 'wb_terms' in 'wikidatawiki' used for label and description lookup of entities was replaced by 'TermStore'. A class called DatabaseTermIdsResolver picked the right host but used the wrong database name, leading to wrong database access.",01:51:00,00:07:00,01:44:00,"wiki,wiki,wiki",Other,"DatabaseTermIdsResolver,MediaWiki configuration,DatabaseTermIdsResolver",Other,"Some pages on 'cawiki' returned a 500 error due to failing to connect to the database. It potentially impacted all non-wikidata wikis, but 'cawiki' and 'ruwiki' use wikidata extensively enough for this to cause issues.","Partial Service Outage, Storage and Database Failures","DatabaseTermIdsResolver used the wrong database name ('cawiki' instead of 'wikidatawiki'), causing the code to try to get information from the wrong database.",Configuration Errors,We got the alert on IRC: PROBLEM - MediaWiki exceptions and fatals per minute on graphite1004 is CRITICAL: CRITICAL: 90.00% of data above the critical threshold [50.0],"Appserver Issues, User Reported Problems"
55,2022-10-06_eqiad_row_D_networking.wikitext,Partial Connectivity Outage in eqiad Row D,2022-10-07 14:50:00,2022-10-07 14:53:00,2022-10-07 14:52:00,Sev(2),"For 2 minutes, eqiad row D experienced a partial connectivity outage, impacting all types of clients. The automatic rollback restored full connectivity before manual recovery was needed.",00:02:00,00:03:00,23:59:00,"api-https,appserver,appserver,haproxy","API and Application Servers, Caching and Proxy Services","cr1-eqiad,cr1-eqiad,bast1003,dbproxy1016,dbproxy1016","Networking Equipment, Web Proxies","For 2 minutes eqiad row D suffered a partial connectivity outage, causing traffic through cr1-eqiad to be blackholed. This impacted all types of clients.","Partial Service Outage, Network Connectivity Problems",The configuration change on the cr1 discarded traffic towards the switch for unknown reasons.,Configuration Errors,"The issue was first detected when Ayounsi lost connectivity to cr1-eqiad and bast1003, followed by multiple alerts including high latency and service failures.","Network Connectivity Problems, Latency and Timeout Issues, Service Probes and Health Checks Failures"
56,2023-05-19 videoscaler jobrunner.wikitext,Incident on 2023-05-19 Involving Video Scaling and Jobrunner,2023-05-19 19:04:00,2023-05-19 19:24:00,2023-05-19 20:53:00,Sev(2),"A large video-scaling job caused server mw1469 to max out its capacity with ffmpeg processes, leading to flapping alerts for both jobrunner and videoscaler services.",01:49:00,00:20:00,01:29:00,"jobrunner,videoscaler","MediaWiki Core Services, Media Storage and File Handling","mw1469,mw1469,ffmpeg","Web Servers & Application Layers, Web Servers & Application Layers, Other",The user who uploaded those videos had to wait a bit longer to get different formats. Possibly other users waited a bit longer for other jobs.,Elevated Response Times and Latencies,A large video-scaling job made server mw1469 so busy that its capacity was maxed out by ffmpeg processes.,Capacity Overloads,"First detected by Icinga reporting via icinga-wm on IRC, followed by a page via Alertmanager.",Service Probes and Health Checks Failures
57,2024-06-10_puppet_volatile_data_broken_sync.wikitext,Puppet Rsync Client Hanging Incident,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:06:00,Sev(2),"Between 2024-04-27 00:00 and 2024-04-27 00:08 UTC, the rsync clients of most puppetmasters/puppetservers to sync data from puppetmaster1001 hung indefinitely. On 2024-06-10, they were killed and restarted manually.",00:06:00,00:00:00,00:06:00,"puppet,CheckUser,Analytics",Other,"puppetmaster1001,puppetmaster1001,GeoLite2 files,puppetmaster1001",Other,"New data from puppet 'volatile' was only rarely/intermittently synced to much of the fleet during this window. The problem was particularly bad in codfw, where all 3 puppetservers had failed to rsync data for the entire duration. The impact is uncertain because, aside from one service, no one noticed any issues.","Partial Service Outage, Data Corruption or Loss","Infinite timeouts were allowed, causing rsync clients to hang indefinitely. Monitoring and logging were disabled, preventing alerting/notification on sync failures. The issue arose from a deadlock situation in the select() call for the rsync client sockets.","Configuration Errors, Software Bugs","Manual detection by Kosta Harlan, who noticed the absence of new GeoLite2 files while working on a task. The missing files were confirmed by cdanis during an investigation initiated from an inquiry on the #wikimedia-sre-foundations IRC channel.",Other
58,2020-02-06_mediawiki.wikitext,Widespread service timeouts following group2 wikis update,2020-02-06 20:22:00,2020-02-06 20:24:00,2020-02-06 20:52:00,Sev(4),Widespread service timeouts starting immediately after moving group2 wikis to 1.35.0-wmf.18. Reverting to 1.35.0-wmf.16 immediately brought most services back to life.,00:30:00,00:02:00,00:28:00,"Other,Other,Other","MediaWiki Core Services, Monitoring and Logging, API and Application Servers","wikifeeds,Apache HTTP on mw servers,eqiad appservers,Apache HTTP on mw servers,eqiad appservers","Web Servers & Application Layers, Caching Servers, Web Servers & Application Layers, Web Servers & Application Layers, Databases","All sites were unresponsive or at least partially offline for ~8 minutes. (Except for cache hits, which would be 'popular' pages for non-logged-in users.)","Complete Service Outage, Partial Service Outage",A typo in a config setting for Wikibase.,Configuration Errors,~100% of icinga alerts fired simultaneously.,"Service Probes and Health Checks Failures, Network Connectivity Problems"
59,2021-11-02_Cloud_VPS_networking.wikitext,2021-11-02 Cloud VPS networking,2021-11-02 11:35:00,,2021-11-02 13:20:00,Sev(2),"For about 1 hour and 40 minutes, Toolforge services and VMs in Cloud VPS may have experienced connectivity issues.",01:45:00,00:00:00,00:00:00,"Toolforge,Cloud VPS",Cloud Services and Virtual Private Servers (VPS),"cloudnet,cloudnet,Toolforge NFS in Kubernetes,LDAP connections,cloudnet",Other,"For about 1 hour and 40 minutes, Toolforge services and VMs in Cloud VPS may have experienced connectivity issues.",Network Connectivity Problems,The issue was caused by a kernel upgrade for several Cloud VPS network components that affected ingress traffic to the network edge for cloud VMs.,Configuration Errors,"Problems were initially detected with Toolforge NFS in Kubernetes and later with LDAP connections. Eventually, it was determined to be a problem with all ingress traffic to the network edge for cloud VMs.",Network Connectivity Problems
60,2020-08-12_appservers_oom.wikitext,Incident Report for T260329,,,,Sev(2),Restricted. Details at https://phabricator.wikimedia.org/T260329.,00:00:00,00:00:00,00:00:00,Restricted,Other,,Other,,Other,,Other,,Other
61,2022-05-20_Database_slow.wikitext,High Latency and Unavailability due to Application Server Worker Thread Exhaustion,2022-05-20 09:35:00,2022-05-20 09:35:00,2022-05-20 09:35:00,Sev(3),"On 2022-05-14 and 2022-05-20, there were incidents of high latency and unavailability due to application server worker thread exhaustion caused by slow database responses.",00:00:00,00:00:00,00:00:00,uncached traffic,Caching and Proxy Services,"application server,database","Web Servers & Application Layers, Databases",Two occurrences of impact on uncached traffic resulting in high latency and unavailability.,"Partial Service Outage, Elevated Response Times and Latencies, Cache Issues",MariaDB 10.6 performance regression under load.,"Database Issues, Software Bugs","Detected through 3 and 5-minute impacts on uncached traffic with high latency and unavailability, first noticed on 2022-05-14 at 8:18 UTC and again on 2022-05-20 at 09:35 UTC.","Latency and Timeout Issues, Cache Layer Anomalies"
62,2020-09-02_wdqs-outage.wikitext,Wikidata Query Service Outage Incident 20200902,2020-09-02 20:34:00,2020-09-02 20:42:31,2020-09-02 22:27:00,Sev(2),"Active Wikidata Query Service instances were down due to Blazegraph being 'locked up', causing queries to time out and exceed nginx's timeout window.",01:53:00,00:08:31,01:44:29,Wikidata Query Service,Wikidata Query Service,"Blazegraph,nginx","Databases, Web Servers & Application Layers","Intermittent service disruption occurred between 20:34 and 22:27 UTC, with about 75% of the time in a state of total outage.","Complete Service Outage, Partial Service Outage","Blazegraph received malformed queries, which triggered deadlocks leading to service unavailability.",Software Bugs,"Issue was first detected when a critical alert from PyBal backends health check was issued at 20:42 UTC, indicating multiple servers being marked down.","Service Probes and Health Checks Failures, Network Connectivity Problems"
63,2022-12-09_MediaWiki_REST_API.wikitext,REST API Content Versioning Issue on MediaWiki,2022-12-06 12:27:18,2022-12-08 23:30:00,2022-12-09 02:39:00,Sev(2),"A change in the MediaWiki REST API caused requests for old revisions to serve the current revision, detected due to visual diffs indicating no changes.",62:11:42,59:02:42,03:09:00,"MediaWiki,VisualEditor",MediaWiki Core Services,"MediaWiki REST API,MediaWiki REST API,MediaWiki REST API",Web Servers & Application Layers,"Visual diffs showed no changes (common feature, approx. 100,000 users of the beta feature on enwiki), and editing old revisions using the VisualEditor did not work (rare occurrence).",Partial Service Outage,A refactoring in the MediaWiki REST API caused it to incorrectly serve the current revision when old revisions were requested.,Software Bugs,The issue was first detected manually by observing that visual diffs indicated no changes had occurred.,User Reported Problems
64,2020-10-30_fr.wikipedia.org-slow-main-page.wikitext,"French Wikipedia Main Page Slow Loading Incident - October 30, 2020",2020-10-30 12:22:00,2020-10-30 17:40:00,2020-10-30 18:56:00,Sev(2),"The main page of the French Wikipedia was loading significantly slower than usual on October 30th, 2020, with load times of up to 20 seconds for logged-in users.",06:34:00,05:18:00,01:16:00,Wikipedia,Other,"FeaturedFeeds extension,Memcached",Other,Logged-in users of the French Wikipedia experienced slow load times of several seconds to up to 20 seconds. Logged-out users were not affected due to their pages being served from cache.,"Elevated Response Times and Latencies, Cache Issues","The FeaturedFeeds extension was generating and parsing the entire feed on every main page load because the feed size exceeded the memcached limit, resulting in 'ITEM_TOO_BIG' errors.","Capacity Overloads, Software Bugs",The issue was first detected when users started reporting the slow load times on the French Wikipedia Bistro page and a ticket was created on Phabricator.,"User Reported Problems, Latency and Timeout Issues"
65,2020-02-25_mediawiki_interface_language.wikitext,Configuration Change Caused UI Language Issue,2020-02-24 00:53:00,2020-02-24 08:41:00,2020-02-24 14:35:00,Sev(2),Logged-out users saw the user interface in their browser language rather than the default wiki content language due to a configuration change causing the $wgULSLanguageDetection setting to be unset.,13:42:00,07:48:00,05:54:00,"UniversalLanguageSelector,appserver","Other, API and Application Servers","$wgULSLanguageDetection,InitialiseSettings.php,InitialiseSettings.php",Other,"Anonymous users were affected, registered users were not. Appserver load increased due to cache splitting by Accept-Language, and average response time also went up considerably.","Partial Service Outage, Elevated Response Times and Latencies, Cache Issues",A configuration change inadvertently causing the $wgULSLanguageDetection setting to be unset and falling back to the default in the UniversalLanguageSelector extension.,Configuration Errors,Reported by users on Phabricator (T246071) and other tasks. There were no alerts.,User Reported Problems
66,2022-07-03_shellbox_request_spike.wikitext,Shellbox Service Incident Report,2022-07-03 11:17:00,2022-07-03 11:17:00,2022-07-03 11:33:00,Sev(2),"An increase in Score requests overwhelmed the Shellbox service, causing slow or unavailable edits and previews for pages with musical notes for 16 minutes.",00:16:00,00:00:00,00:16:00,"Shellbox,Parsoid",MediaWiki Core Services,"Score extension,k8s pods","Containers & Kubernetes, Other","For 16 minutes, edits and previews for pages with Score musical notes were too slow or unavailable.","Partial Service Outage, Elevated Response Times and Latencies",An increase in Score requests (musical note rendering) from Parsoid overwhelmed the Shellbox service.,"Capacity Overloads, Unexpected Traffic Surges","The issue was first detected from Grafana and Logstash dashboards showing a significant increase in request times and errors, including HTTP 503 and HTTP 504.","Latency and Timeout Issues, Network Connectivity Problems"
67,2023-07-19_enrich_job_outage.wikitext,Incident involving mw-page-content-change-enrich application outage on 2023-07-19,2023-07-19 18:50:30,2023-07-19 20:10:38,2023-07-19 20:30:00,Sev(2),"An enriched message exceeding Kafka's max.request.size caused the mw-page-content-change-enrich application's Kafka producer to crash, resulting in a Flink Taskmanager shutdown.",01:39:30,01:20:08,00:19:22,mw-page-content-change-enrich application,MediaWiki Core Services,"Flink Taskmanager,Kafka producer",Other,The mw-page-content-change-enrich application (eqiad) has not been producing enriched events during the outage.,Partial Service Outage,An enriched message exceeding Kafka's max.request.size caused the application's Kafka producer to crash.,Configuration Errors,GModena and TChin reacted to alerts triggered by degrading Service Level Indicators (SLIs).,"Latency and Timeout Issues, User Reported Problems"
68,2020-05-01_vc-link-failure.wikitext,Virtual Chassis Link Failure Between asw2-d1-eqiad and asw2-d8-eqiad,2023-10-01 05:21:00,2023-10-01 05:21:00,2023-10-02 07:08:00,Sev(2),"The virtual chassis link between asw2-d1-eqiad and asw2-d8-eqiad failed in two steps, causing packet loss for hosts on D1 and connectivity issues between MediaWiki appservers and memcache servers.",25:47:00,00:00:00,25:47:00,"appservers,servers,servers","API and Application Servers, Caching and Proxy Services","asw2-d1-eqiad,asw2-d1-eqiad,mw1356-1362","Networking Equipment, Web Servers & Application Layers","Little to no effect on traffic, error rates, and latencies for anonymous users. Logged in users experienced a ~1% error rate increase (with a short spike to ~7.5%) and increased tail latency (around 100%-150% increase).","Partial Service Outage, Elevated Response Times and Latencies, Increased Error Rates","Packet loss through Virtual Chassis Fabric, particularly between asw2-d1-eqiad and asw2-d8-eqiad.",Network Failures,"Detected by critical alerts from icinga-wm for MediaWiki exceptions and fatals per minute, and MediaWiki memcached error rate, followed by critical alerts for PHP7 rendering with socket timeouts.","Appserver Issues, Latency and Timeout Issues, Cache Layer Anomalies"
69,2023-05-23_wdqs_CODFW_5xx_errors.wikitext,WDQS Service Outage in CODFW Datacenter,2023-05-23 10:48:00,2023-05-23 10:47:00,2023-05-23 19:24:00,Sev(3),An expensive query repeatedly sent by an external user caused errors and timeouts for a subset of users accessing the WDQS service from the CODFW datacenter. A requestctl rule was implemented to mitigate the issue.,08:36:00,23:59:00,08:37:00,WDQS service,Wikidata Query Service,"PyBal backends,lvs2010,wdqs-heavy-queries_8888,wdqs-heavy-queries_8888","Load Balancers, Load Balancers, Web Servers & Application Layers, Databases",A subset of users accessing the WDQS service from our CODFW datacenter received errors and timeouts.,"Partial Service Outage, Increased Error Rates, Network Connectivity Problems",An expensive query sent over and over again by an external user(s) caused the issue.,Unexpected Traffic Surges,"First Icinga alerts fired at 10:47 UTC, indicating 'PyBal backends health check on lvs2010 is CRITICAL: PYBAL CRITICAL - CRITICAL - wdqs-heavy-queries_8888: Servers wdqs2009.codfw.wmnet are marked down but pooled'.",Service Probes and Health Checks Failures
70,2021-07-14_eventgate-analytics_latency_spike_caused_MW_app_server_overload.wikitext,EventGate Deployment Caused MediaWiki API Request Failures,2021-07-14 16:07:12,2021-07-14 16:07:12,2021-07-14 16:17:18,Sev(2),"During the deployment of updates to EventGate for Prometheus support, a spike in request latency from MediaWiki to eventgate-analytics caused some MediaWiki API requests to fail, leading to an auto-rollback of the deployment in codfw.",00:10:06,00:00:00,00:10:06,"MediaWiki API,EventGate,EventGate","API and Application Servers, Monitoring and Logging","php worker,node-rdkafka-prometheus,service-template-node,service-template-node,helm,node-rdkafka-prometheus","Web Servers & Application Layers, Monitoring & Telemetry, Containers & Kubernetes, Web Servers & Application Layers, Cluster Management, Monitoring & Telemetry","For ~10 minutes, MediaWiki API clients experienced request failures.",API Failures,A bug in the service-runner Prometheus integration caused the nodejs worker process to die when 'prom-client' was required within a worker.,Software Bugs,"Request latency spikes from MediaWiki to eventgate-analytics were detected, filling PHP worker slots and causing MediaWiki API request failures. Helm auto-rolled back the deployment after detecting issues with the eventgate-analytics deploy to codfw.","Latency and Timeout Issues, High CPU & Resource Utilization, Service Probes and Health Checks Failures"
71,2024-04-28_WMCS_Toolforge_Redis_refusing_connections.wikitext,Toolforge Redis Connection Incident,2024-04-28 13:39:00,2024-04-28 13:39:00,2024-04-28 14:36:00,Sev(2),Toolforge Redis refused new connections because there were too many active connections. This happened intermittently for 1 hour until the service was restarted manually.,00:57:00,00:00:00,00:57:00,Toolforge,Cloud Services and Virtual Private Servers (VPS),"tools-redis-6,tools-redis-6,tools-redis-6",Caching Servers,Toolforge tools using Redis suffered intermittent connection errors for the duration of the incident.,"Partial Service Outage, Network Connectivity Problems",Toolforge Redis server reached the maximum number of client connections.,Capacity Overloads,Toolschecker detected a problem with Redis and Icinga fired an alert. This was routed to Alertmanager and to VictorOps. VictorOps sent a page to the on-call engineer.,Cache Layer Anomalies
72,2021-02-01_swift-codfw.wikitext,Icinga Check Timeout Incident for `ms-fe.svc.codfw.wmnet`,2021-02-11 11:41:00,2021-02-11 11:41:00,2021-02-11 11:44:00,Sev(2),"Today, at 11:41, the icinga check for `ms-fe.svc.codfw.wmnet` timed out, resulting in a page alert which recovered three minutes later.",00:03:00,00:00:00,00:03:00,"swift-https,swift-https,swift-https","Media Storage and File Handling, Caching and Proxy Services","ms-fe.svc.codfw.wmnet,ms-fe.svc.codfw.wmnet,ms-fe.svc.codfw.wmnet,Swift backend",Caching Servers,"Users in codfw/ulsfo/eqsin experienced approximately 15 minutes of higher latency, possibly including timeouts, for hit-local and miss requests (10-25% of site requests, depending on the site).",Elevated Response Times and Latencies,"The slowness was induced by an earlier swift rebalance and the current method of performing such rebalances, which are generally noisy and impactful to the cluster.",Other,The issue was detected through an icinga alert for LVS swift-https codfw port 443/tcp being critical due to a socket timeout. Recovery was noticed when the alert status returned to OK.,"Latency and Timeout Issues, Service Probes and Health Checks Failures"
73,2021-03-30_Jobqueue_overload.wikitext,Incident Report on Server-Side Upload Process Impact,2023-10-01 08:00:00,2023-10-01 08:05:00,2023-10-01 09:30:00,Sev(3),"An upload of 65 video 4k files via the server-side upload process caused high CPU/socket timeout errors on jobrunners, resulting in an increased job backlog and unavailability on several mw-related servers.",01:30:00,00:05:00,01:25:00,"mw-related servers,videoscalers,mw-related servers","MediaWiki Core Services, Media Storage and File Handling","CPU,CPU,server-side upload process,server-side upload process,server-side upload process",Other,"Users experienced job backlog and unavailability on several mw-related servers, including job queue runners.",Partial Service Outage,"A combination of the files being 4k, requiring many downscales, and the fast connection from the local server caused excessive load on the jobqueue infrastructure.",Capacity Overloads,"The issue was first detected through high CPU usage and socket timeout errors on jobrunners, leading to increased job backlog and server unavailability.","High CPU & Resource Utilization, Latency and Timeout Issues"
74,2023-02-28_GitLab_data_loss.wikitext,"GitLab Production Data Loss Incident - February 28, 2022",2022-02-28 00:04:00,2022-02-28 02:03:00,2022-02-28 02:20:00,Sev(2),"GitLab was switched to the other data center as planned maintenance, and during the switchover, a backup was restored on the production host due to incorrect configuration, causing data loss for one and a half hours and reduced availability for 20 minutes.",02:16:00,01:59:00,00:17:00,GitLab,Other,"gitlab1004,gitlab1004,codfw","Code Deployment & Version Control, Other","Data loss on GitLab production host for one and a half hours, reduced availability for 20 minutes.","Data Corruption or Loss, Partial Service Outage","The daily restore job was not disabled on the new production host in codfw, resulting in a backup being restored on the production host.",Configuration Errors,"The issue was detected by automatic monitoring and task creation (probeDown) with details: alertname: ProbeDown, instance: gitlab2002:443, job: probes/custom, prometheus: ops, severity: task, site: codfw, source: prometheus, team: serviceops-collab.",Service Probes and Health Checks Failures
75,2024-02-28_etcd-mirror.wikitext,Etcd Replication Failure Incident,2024-02-28 01:39:00,2024-02-28 01:42:00,2024-02-28 02:52:00,Sev(2),"Etcd-mirror replication from eqiad to codfw failed due to an unusual sequence of data changes, causing the long-running watch to lose track of the up-to-date state of etcd in eqiad.",01:13:00,00:03:00,01:10:00,"conftool,etcd-mirror",Other,"etcd,etcd",Cluster Management,No user impact. Near miss for split brain config scenarios.,Other,"Etcd-mirror encountered an EtcdEventIndexCleared exception due to an unusually high number of non-conftool etcd events, which were triggered by Spicerack locks during a busy day for reimage cookbooks.","Capacity Overloads, Software Bugs",The issue was first detected by the 'EtcdReplicationDown' and 'SystemdUnitFailed' alerts firing.,"Service Probes and Health Checks Failures, Network Connectivity Problems"
76,2020-06-19_Logstash.wikitext,Logstash Index Staleness Incident,2023-10-30 00:00:00,2023-10-30 00:00:00,2023-10-30 00:06:00,Sev(2),Logstash indexes were temporarily stale and newer messages from Kafka were not available.,00:06:00,00:00:00,00:06:00,"Elasticsearch,Elasticsearch,Kafka","Monitoring and Logging, Other","Logstash Indexes,Kibana Monitoring Alerts",Monitoring & Telemetry,Monitoring alerts based on Logstash missed potential errors. Developers could not see the latest messages in Kibana and experienced reduced availability in querying older messages.,"Partial Service Outage, Elevated Response Times and Latencies, Increased Error Rates",TODO,Other,Not specified in the report.,Other
77,2022-03-06_wdqs-categories.wikitext,Wikidata Query Service API Outage Incident,2022-03-06 13:50:00,2022-03-06 16:52:00,2022-03-06 17:24:00,Sev(3),"The Wikidata Query Service (WDQS) experienced an overload causing it to sporadically block client traffic for 1.5 hours, affecting service availability.",03:34:00,03:02:00,00:32:00,Wikidata Query Service API,"Wikidata Query Service, API and Application Servers","wdqs::public,wdqs::public","Databases, Web Servers & Application Layers","For 1.5 hour, some requests to the public Wikidata Query Service API were sporadically blocked.","Partial Service Outage, Increased Error Rates, API Failures",The service got overloaded and started to block client traffic.,Capacity Overloads,Icinga sent some non-paging alerts at 13:50 indicating 'CRITICAL - wdqs-heavy-queries_8888'. Paging alerts started at 16:52 indicating a more severe outage.,Service Probes and Health Checks Failures
78,2021-04-26_thumbor.wikitext,Incident: Crash in Network Stack of ms-be1062,2023-10-27 09:21:00,2023-10-27 09:21:00,2023-10-27 09:38:00,Sev(2),"At 9:21, ms-be1062 crashed in its network stack, causing traffic blackholing and request timeouts to swift. This led to a resource starvation for thumbor cluster workers. Traffic was diverted to minimize impact, and rebooting ms-be1062 at 9:38 resolved the issue.",00:17:00,00:00:00,00:17:00,"thumbor,thumbor",Media Storage and File Handling,"network stack,ms-be1062,swift backend,pybal,network stack","Other, Web Proxies, Caching Servers, Cluster Management",Users experienced delayed thumbnail generation due to the resource starvation in the thumbor cluster workers waiting for swift responses.,"Elevated Response Times and Latencies, Storage and Database Failures","ms-be1062's network stack crash during a rebalance operation of the swift cluster, exacerbated by the demands placed on the swift backend in the current configuration.","Network Failures, Configuration Errors","Detected by traffic blackholing and request timeouts, with ms-be1062 not being depooled despite returning 503s, leading to resource starvation for thumbor cluster workers.","Appserver Issues, Latency and Timeout Issues, Network Connectivity Problems"
79,2021-07-16_asw-a2-codfw_network.wikitext,Switch Failure Impacting Codfw Services,2022-09-16 13:16:00,2022-09-16 13:16:00,2022-09-16 16:56:00,Sev(3),"asw-a2-codfw, the switch handling the network traffic of rack A2 on codfw became unresponsive, rendering 14 hosts unreachable and affecting additional load balancers and services dependent on them.",03:40:00,00:00:00,03:40:00,"Restbase,mobileapps,cxserver,Maps Tile Service,Wikidata Query Service,mw-api,mw-api,text cache","API and Application Servers, API and Application Servers, API and Application Servers, Content Delivery Network (CDN) and Edge Cache, Wikidata Query Service, API and Application Servers, API and Application Servers, Caching and Proxy Services","Rack A2 hosts,load balancers,switches,Rack A2 hosts,lvs2009,lvs2009,authdns2001","Load Balancers, Networking Equipment, Other, Load Balancers, Load Balancers, Other","For about 1 hour the Restbase, mobileapps, and cxserver services were serving errors. Reduced capacity of high-traffic1 load balancers and MediaWiki servers in Codfw.","Partial Service Outage, Increased Error Rates","One single switch failure led to a more significant outage because 3 load balancers including the backup one were dependent on a single network switch, and depool thresholds for several services were too restrictive.","Network Failures, Configuration Errors",Automated monitoring reported several hosts of rack A2 going down simultaneously. Icinga alerts included multiple hosts reporting PING CRITICAL with 100% packet loss.,"Network Connectivity Problems, Service Probes and Health Checks Failures"
80,2020-08-14_isp-unreachable.wikitext,"Users of Jio ISP (India, AS 55836) unable to reach Wikimedia sites",2020-08-19 13:45:00,2020-08-19 14:00:00,2020-08-19 15:30:00,Sev(2),"Users of Jio ISP (India, AS 55836) were unable to reach Wikimedia sites due to a misconfiguration in Jio's own RPKI records.",01:45:00,00:15:00,01:30:00,Wikimedia sites,Other,"RPKI records,network advertisements",Other,Users of Jio ISP in India were unable to reach Wikimedia sites.,Network Connectivity Problems,Misconfiguration in Jio's RPKI records.,Security Misconfigurations,"Users were unable to access Wikimedia sites, detected through user reports and monitoring alerts.","User Reported Problems, Service Probes and Health Checks Failures"
81,2024-06-11_WMCS_Ceph.wikitext,WMCS Cloud VPS Outage,2024-06-11 14:58:09,2024-06-11 15:01:50,2024-06-11 15:23:00,Sev(2),A faulty optic on one of the fiber links between WMCS racks caused a 25-minute outage of Cloud VPS and all hosted services due to packet loss in the Ceph storage cluster.,00:24:51,00:03:41,00:21:10,"Cloud VPS,Toolforge","Cloud Services and Virtual Private Servers (VPS), Other","Ceph storage cluster,fiber links,cloudsw1-d5-eqiad,cloudsw1-d5-eqiad",Other,For about 25 minutes Cloud VPS and all services hosted on it (incl. Toolforge) were completely inaccessible.,Complete Service Outage,"A faulty optic on one of the fiber links between WMCS racks caused packet loss between nodes in the Cloud VPS Ceph storage cluster, stalling writes and making VMs and services inaccessible.","Hardware Failures, Network Failures",The issue was first detected by an automated alert for CephSlowOps at 14:58:09 and a subsequent toolschecker NFS alert at 15:01:50 indicating HTTP 504 Gateway Time-out.,"Latency and Timeout Issues, Service Probes and Health Checks Failures"
82,2023-08-30_hadoop-yarn.wikitext,Log Aggregation Failure on Hadoop Worker Nodes,2023-08-29 11:02:00,2023-08-29 11:02:00,2023-08-30 16:22:00,Sev(3),Log aggregation was failing on recently re-imaged Hadoop worker nodes due to a wrong compression type in the log aggregator service.,29:20:00,00:00:00,29:20:00,"Airflow,Hadoop",Database and Data Analytics,"log aggregator service,Hadoop worker nodes,Airflow tasks",Other,"Partial log aggregation for yarn applications running on specific Hadoop worker nodes resulted in some non-idempotent Airflow tasks failing, despite Yarn applications being in a SUCCESS state.","Partial Service Outage, Data Corruption or Loss","The log aggregator service was configured with an incorrect value for the compression type, set to 'gzip' instead of 'gz'.",Configuration Errors,"The issue was first detected by multiple automated alerts from Airflow notifying that 'No logs found. Log aggregation may have not completed, or it may not be enabled.'",Service Probes and Health Checks Failures
